ref	value
ANT1	ANT_PCB_MONO
B3	BAT
BLN1	0896BM15A0001
BZ1	BUZZER
C1	10u
C2	1.8pF
C3	220pF
C4	10n
C5	3.3pF
C6	10n
C7	0.1u
C8	220pF
C9	10pF
C10	10pF
C11	0.1u
C12	10u
C13	0.1u
C14	0.1u
C15	10n
C16	1u
C17	10u
C18	0.1u
C21	0.1u
C22	10u
C23	0.1u
C24	10u
D1	BAT54WS
D2	BAT54WS
DA1	NCP1400
DD1	STM32L151CXTX
DD2	CC1101
L1	5.6nH
L2	22uH
M1	MOTOR_PAD
Q1	MMBT2222
Q2	MMBT2222
Q3	LED_RGB 5050
R1	1k
R2	56k
R4	1k
R5	4K7
R6	4K7
R7	150
R8	51R
R9	51R
R10	51R
R12	1k
RP1	REFPOINT
RP2	REFPOINT
TP1	TESTPOINT
TP2	TESTPOINT
XL1	ST_SWD
XL2	CONN_3
XL3	CONN_4
XL4	CONN_4
XTAL1	27MHz
